,岗位代码,用人单位序号,用人单位名    称,岗位类别,"岗位
名称",从事工作,招考数量,入围比例,"来源
类别",学历,学位,所学专业,考试专业科    目,其他条件,工作地点,联系电话,通过人数
0,2023000616,D230086,中央军委装备发展部某单位,工程,助理工程师,装备竞争性采购管理,1,1:5,高校毕业生,全日制研究生（硕士以上）,硕士以上,机械工程，交通运输工程,数学1,男性，第一学历为国内“双一流”建设高校全日制本科,北京,010-55455402,3
1,2023003521,D231999,陆军某单位,助理员,助理员（九级文员以下）,运输投送,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，本科或硕士为理工类专业，熟练操作计算机,江苏徐州,"0516-83342355,18936360012",9
2,2023003814,D232057,陆军某单位,工程,助理工程师,交通运输信息管理,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输",数学1,男性，有较强的文字功底和写作能力,山东济南,"0531-51620066,15610121987",28
3,2023005246,D232149,陆军装甲兵学院,高教,助教,武器装备相关教学与科研,1,1:5,高校毕业生,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，国内“双一流”建设高校，熟练掌握驾驶技术（持有C1及以上驾驶证）,北京,"010-66717924,010-66717373",0
4,2023005680,D232151,陆军航空兵学院,工程,助理工程师,后勤装备研发,1,1:5,高校毕业生,全日制研究生（硕士以上）,硕士以上,计算机科学与技术，交通运输工程,数学2+物理,男性，“211工程”院校毕业生,北京,010-66857524,0
5,2023006572,D232156,陆军军事交通学院,高教,助教,教学科研和实践教学,1,1:5,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学1,男性，有较强的语言组织和表达能力,江苏镇江,"0511-85339308,0511-85339341",15
6,2023006583,D232156,陆军军事交通学院,高教,助教,教学科研工作,1,1:5,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,控制科学与工程，交通运输工程,数学2+物理,男性，国内“双一流”建设高校毕业，且第一学历为国内“双一流”建设高校全日制本科,天津,"022-84651358,022-84651180",5
7,2023006597,D232156,陆军军事交通学院,科学研究,研究实习员,军民融合研究,2,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，国内“双一流”建设高校,天津,"022-84651923,022-84651942",8
8,2023006767,D232157,陆军勤务学院,高教,助教,教学科研和实践教学,1,不限,高校毕业生,全日制研究生（硕士以上）,硕士以上,交通运输工程,免笔试,“双一流”建设高校及建设学科硕士以上研究生,重庆,"023-86704063,023-86704060",10
9,2023007022,D232158,陆军某单位,工程,助理工程师,技术研发,1,1:5,高校毕业生,全日制研究生（硕士以上）,硕士以上,机械工程，交通运输工程,数学2+物理,国内“双一流”建设高校,江苏无锡,"010-66709664,0510-68757042",4
10,2023007227,D232159,陆军某单位,工程,助理工程师,兵器试验技术相关工作,4,1:3,高校毕业生,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输",数学2+物理,男性，国内“双一流”建设高校,江苏南京,"010-66776032,13057660399",7
11,2023007688,D232176,海军某部队,工程,助理工程师,项目管理,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：电气工程，船舶与海洋工程
本科：交通运输类，船舶与海洋工程",数学2+物理,男性，有较强的文字写作能力和组织协调能力,广东湛江,"0759-7663662,13138152199",12
12,2023008811,D232209,海军勤务学院,中教,助理讲师,汽车驾驶训练和修理教学,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程，交通运输工程（专业学位）
本科：交通运输，交通工程",数学2+物理,男性，“985工程”或“211工程”院校毕业生,北京,010-66754526,5
13,2023008923,D232211,海军某单位,科学研究,研究实习员,科学研究工作,1,1:5,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,测绘科学与技术，交通运输工程,数学1,男性，“985工程”院校或“211工程”院校或海外知名高校毕业，且第一学历为全日制本科,北京,010-66969766,4
14,2023008984,D232211,海军某单位,工程,助理工程师,科研工作,3,1:3,高校毕业生,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学1,男性，本科或研究生为“985工程”或“211工程”或国内“双一流”建设高校毕业,北京,010-66952328,6
15,2023009074,D232211,海军某单位,工程,助理工程师,科学研究工作,1,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学1,男性，本科或研究生为“985工程”或“211工程”或国内“双一流”建设高校毕业,北京,010-66952328,2
16,2023009097,D232211,海军某单位,工程,助理工程师,技术研发,1,1:5,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,本科或研究生为“985工程”或“211工程”或国内“双一流”建设高校毕业,北京,010-66952328,9
17,2023009262,D232231,海军某单位,工程,助理工程师,装备管理保障,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学2+物理,男性，国内“双一流”建设高校,北京,"010-66961416,18531665206",8
18,2023009465,D232245,空军某单位,工程,助理工程师,空域管理,3,1:5,高校毕业生,全日制本科以上,学士以上,"研究生：交通运输规划与管理
本科：交通运输类",数学2+物理,男性，熟练使用office、wps等办公软件，有较强的文字写作能力和组织协调能力,江苏南京,025-80877110,22
19,2023009466,D232245,空军某单位,工程,助理工程师,空域管理,1,1:5,社会人才,全日制本科以上,学士以上,"研究生：交通运输规划与管理
本科：交通运输类",数学2+物理,男性，熟练使用office、wps等办公软件，有较强的文字写作能力和组织协调能力,江苏南京,025-80877110,9
20,2023009682,D232256,空军某部队,管制员,管制员（九级文员以下）,航空管制,2,1:3,高校毕业生,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输",数学2+物理,男性，本科为“985工程”或“211工程”院校毕业，有扎实的英语阅读和翻译功底,福建福州,"0591-24971406,025-80877110",3
21,2023009829,D232269,空军某部队,工程,助理工程师,交通运输信息管理,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学2+物理,熟练使用office、wps等办公软件,广东广州,020-61681170,45
22,2023009838,D232272,空军某部队,中教,助理讲师,汽车驾驶训练和修理教学,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：车辆工程（专业学位）
本科：交通运输类",教育学,男性，国内“双一流”建设高校毕业，且第一学历为国内“双一流”建设高校全日制本科,广东广州,020-61628745,4
23,2023012199,D232394,空军某部队,参谋,参谋（九级文员以下）,航空管制,1,1:5,高校毕业生,全日制本科以上,学士以上,"研究生：交通运输规划与管理
本科：交通运输",数学2+物理,男性，中共正式党员，“985工程”或“211工程”院校或“双一流”建设高校（学科）全日制本科,陕西西安,029-68031107,9
24,2023012704,D232395,空军某单位,工程,助理工程师,工程项目论证评审,1,1:5,社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程，交通运输工程（专业学位）,数学1,男性，一本院校，熟悉工程设计相关知识,北京,010-66711034,2
25,2023012706,D232395,空军某单位,工程,助理工程师,工程项目论证评审,1,1:5,社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性,北京,010-66711034,6
26,2023012845,D232398,空军勤务学院,高教,助教,教学科研和实践教学,2,1:5,高校毕业生,全日制研究生（硕士以上）,硕士以上,机械工程，交通运输工程,数学2+物理,男性，“985工程”或“211工程”院校毕业生,江苏徐州,"0516-82371144,15337728028",3
27,2023013300,D232427,火箭军某部队,工程,助理工程师,物流管理,1,1:5,社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学2+物理,男性,安徽,15351587629,2
28,2023013318,D232429,火箭军某部队,助理员,助理员（九级文员以下）,机关办公工作,1,1:3,高校毕业生,全日制本科以上,学士以上,"研究生：车辆工程，交通运输工程
本科：车辆工程，交通运输类",数学2+物理,男性，第一学历为全日制一本院校本科，了解各种测量设备及其相关编程技术,湖南,15337886781,2
29,2023014010,D232443,火箭军某部队,科学研究,研究实习员,电子信息装备体系及网络信息体系评估与结构优化,1,1:5,高校毕业生或社会人才,全日制研究生（硕士）,硕士,光学工程，交通运输工程,数学1,男性，“985工程”或“211工程”院校毕业生,北京,13161180017,1
30,2023014070,D232443,火箭军某部队,工程,助理工程师,技术研发和工艺技术改进,1,1:3,高校毕业生,全日制研究生（硕士）,硕士,交通运输规划与管理,数学2+物理,本科为“985工程”或“211工程”院校毕业，研究生为国内“双一流”建设高校,北京,"18501321622,15321597819",5
31,2023014317,D232461,战略支援部队某单位,工程,助理工程师,交通运输信息管理,2,不限,高校毕业生,全日制研究生（硕士以上）,硕士以上,交通运输工程，车辆工程（专业学位）,免笔试,男性，“双一流”建设高校及建设学科硕士以上研究生,北京,010-55481518,2
32,2023014388,D232470,战略支援部队某部队,管理员,管理员（九级文员以下）,工程管理,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：建筑与土木工程（专业学位），交通运输工程（专业学位）
本科：交通运输，建筑学",数学2+物理,,内蒙古阿拉善盟,0937-2461314,29
33,2023015200,D232489,战略支援部队某部队,工程,助理工程师,数据处理、分析和数据运维管理,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,重庆,023-86707054,32
34,2023015341,D232492,战略支援部队某部队,助理员,助理员（九级文员以下）,军事设施建设,1,1:5,高校毕业生,全日制本科以上,学士以上,"研究生：建筑学，交通运输工程
本科：交通运输类，建筑类",数学2+物理,男性,北京,010-66847163,5
35,2023015920,D232505,战略支援部队某部队,工程,助理工程师,交通运输信息管理,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程，交通运输工程（专业学位）
本科：交通运输类",数学1,男性，本科为“985工程”或“211工程”院校毕业,北京,"010-66779880,18120074087",4
36,2023015921,D232505,战略支援部队某部队,工程,助理工程师,交通运输信息管理,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程，交通运输工程（专业学位）
本科：交通运输类",数学2+物理,男性，本科为“985工程”或“211工程”院校毕业,北京,"010-66779880,18120074087",2
37,2023017123,D232548,战略支援部队某部队,助理员,助理员（九级文员以下）,运输投送,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,新疆巴音郭楞,"0996-2378515,18139412527",5
38,2023017584,D232560,联勤保障部队某单位,工程,助理工程师,军车检修,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：车辆工程",数学2+物理,男性，国内“双一流”建设高校，有较强的文字写作能力和组织协调能力,湖北武汉,027-59561718,5
39,2023018274,D232597,联勤保障部队某部队,参谋,参谋（九级文员以下）,运输投送管理,3,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，有较强的文字写作、组织协调、统筹管理能力和执行能力,上海,"021-81826630,18911222780",13
40,2023018275,D232597,联勤保障部队某部队,参谋,参谋（九级文员以下）,综合计划,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，有较强的文字写作能力和组织协调能力,上海,"021-81826630,18911222780",5
41,2023018285,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,5,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，江西省户口,江西南昌,"021-81826630,18911222780",21
42,2023018286,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,江苏徐州,"021-81826630,18911222780",6
43,2023018287,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,7,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,上海,"021-81826630,18911222780",43
44,2023018288,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,江西鹰潭,"021-81826630,18911222780",2
45,2023018289,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,安徽芜湖,"021-81826630,18911222780",8
46,2023018290,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,安徽蚌埠,"021-81826630,18911222780",7
47,2023018291,D232597,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,江苏连云港,"021-81826630,18911222780",10
48,2023018295,D232597,联勤保障部队某部队,工程,助理工程师,工程监理,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通工程",数学1,男性,上海,"021-81826630,18911222780",4
49,2023018298,D232597,联勤保障部队某部队,工程,助理工程师,交通运输信息管理,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,上海,"021-81826630,18911222780",8
50,2023018299,D232597,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，浙江省户口,浙江杭州,"021-81826630,18911222780",5
51,2023018300,D232597,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,2,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,江苏徐州,"021-81826630,18911222780",17
52,2023018301,D232597,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,江西九江,"021-81826630,18911222780",3
53,2023018393,D232604,联勤保障部队某单位,助理员,助理员（九级文员以下）,运输投送,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程
本科：交通运输，交通工程",数学2+物理,男性，“985工程”或“211工程”院校毕业生,广西桂林,"0773-2080579,13170603158",2
54,2023019007,D232639,联勤保障部队某部队,工程,助理工程师,军车检修,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：车辆工程（专业学位）
本科：交通运输",数学2+物理,男性,广东惠州,"18665221014,18588894066",5
55,2023019018,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性，“211工程”院校毕业生,广西南宁,"020-88644134,13570238106",3
56,2023019019,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,6,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南昆明,"020-88644134,13570238106",81
57,2023019020,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广东深圳,"020-88644134,13570238106",8
58,2023019021,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,贵州贵阳,"020-88644134,13570238106",37
59,2023019022,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南红河,"020-88644134,13570238106",9
60,2023019023,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,3,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输，交通工程",数学1,男性,湖南长沙,"020-88644134,13570238106",22
61,2023019024,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南迪庆,"020-88644134,13570238106",5
62,2023019025,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,湖南衡阳,"020-88644134,13570238106",4
