,岗位代码,用人单位序号,用人单位名    称,岗位类别,"岗位
63,2023019026,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,6,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广东广州,"020-88644134,13570238106",30
64,2023019027,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，航海技术",数学1,男性,广东湛江,"020-88644134,13570238106",10
65,2023019028,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,海南三亚,"020-88644134,13570238106",6
66,2023019029,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广西桂林,"020-88644134,13570238106",9
67,2023019030,D232641,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制
本科：交通运输",数学1,男性,海南海口,"020-88644134,13570238106",12
68,2023019032,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性，“211工程”院校毕业生,广西南宁,"020-88644134,13570238106",3
69,2023019033,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广东湛江,"020-88644134,13570238106",6
70,2023019034,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：航海技术，轮机工程",数学1,男性,海南三亚,"020-88644134,13570238106",15
71,2023019035,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制
本科：交通运输",数学1,男性,海南海口,"020-88644134,13570238106",4
72,2023019036,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广西桂林,"020-88644134,13570238106",4
73,2023019037,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,广西北海,"020-88644134,13570238106",4
74,2023019038,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南昆明,"020-88644134,13570238106",11
75,2023019039,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南保山,"020-88644134,13570238106",8
76,2023019040,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,贵州遵义,"020-88644134,13570238106",12
77,2023019041,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,云南迪庆,"020-88644134,13570238106",7
78,2023019042,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输，交通设备与控制工程",数学1,男性,湖南怀化,"020-88644134,13570238106",5
79,2023019043,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，航海技术",数学1,男性,广东广州,"020-88644134,13570238106",9
80,2023019044,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，交通工程",数学1,男性,湖南衡阳,"020-88644134,13570238106",6
81,2023019045,D232641,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输，航海技术",数学1,男性,广东深圳,"020-88644134,13570238106",13
82,2023019046,D232641,联勤保障部队某部队,工程,助理工程师,交通运输信息管理,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位），车辆工程（专业学位）
本科：交通运输，交通工程",数学1,男性,广东广州,"020-88644134,13570238106",5
83,2023019047,D232641,联勤保障部队某部队,工程,助理工程师,交通运输信息管理,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通工程，交通设备与控制工程",数学1,,贵州贵阳,"020-88644134,13570238106",31
84,2023019573,D232673,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通运输规划与管理
本科：交通运输，交通工程",数学2+物理,男性，有较强的文字写作能力和组织协调能力,四川成都,"028-67784066,13739310767",15
85,2023019579,D232673,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通运输规划与管理
本科：交通运输，交通工程",数学2+物理,男性，有较强的文字写作能力和组织协调能力,四川成都,"028-67784066,13739310767",4
86,2023019581,D232673,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程，交通运输工程（专业学位）
本科：交通运输，交通工程",数学2+物理,男性，有较强的文字写作能力和组织协调能力,甘肃兰州,"028-67784066,13739310767",21
87,2023019582,D232673,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通运输工程（专业学位）
本科：交通运输，交通工程",数学2+物理,男性，有较强的文字写作能力和组织协调能力,青海西宁,"028-67784066,13739310767",9
88,2023019732,D232688,联勤保障部队某部队,助理员,助理员（九级文员以下）,运输投送,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,吉林通化,"18145669769,18241858059",2
89,2023019746,D232690,联勤保障部队某部队,助理员,助理员（九级文员以下）,运输投送,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程
本科：交通运输，交通工程",数学2+物理,男性,黑龙江牡丹江,"13394386731,13163601005",7
90,2023020000,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,山东济南,"17790097616,18640328642",15
91,2023020001,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输，航海技术",数学2+物理,男性，第一学历为全日制本科,山东烟台,"17790097616,18640328642",20
92,2023020002,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输，航海技术",数学2+物理,男性，第一学历为全日制本科,山东青岛,"17790097616,18640328642",25
93,2023020003,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,黑龙江佳木斯,"17790097616,18640328642",4
94,2023020004,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,黑龙江哈尔滨,"17790097616,18640328642",10
95,2023020005,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,内蒙古呼和浩特,"17790097616,18640328642",5
96,2023020006,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,辽宁丹东,"17790097616,18640328642",6
97,2023020007,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,内蒙古乌兰察布,"17790097616,18640328642",8
98,2023020008,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,内蒙古呼伦贝尔,"17790097616,18640328642",4
99,2023020009,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,内蒙古包头,"17790097616,18640328642",7
100,2023020010,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,吉林白城,"17790097616,18640328642",4
101,2023020011,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,吉林通化,"17790097616,18640328642",4
102,2023020012,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,吉林长春,"17790097616,18640328642",8
103,2023020013,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,辽宁沈阳,"17790097616,18640328642",10
104,2023020014,D232721,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输",数学2+物理,男性，第一学历为全日制本科,辽宁锦州,"17790097616,18640328642",4
105,2023020017,D232721,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：道路与铁道工程，交通信息工程及控制
本科：交通运输，交通工程",数学2+物理,男性，第一学历为全日制本科,辽宁沈阳,"17790097616,18640328642",16
106,2023020483,D232770,联勤保障部队某部队,参谋,参谋（九级文员以下）,运输投送管理,2,1:3,社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,北京,"010-66716753,13579955188",16
107,2023020486,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，本科或研究生为“985工程”或“211工程”或国内“双一流”建设高校毕业,河南信阳,"010-66716753,13579955188",3
108,2023020487,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性，“985工程”或“211工程”院校毕业，且第一学历为全日制本科,山西临汾,"010-66716753,13579955188",4
109,2023020488,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,湖北襄阳,"010-66716753,13579955188",6
110,2023020489,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制
本科：交通运输",数学1,男性,湖北武汉,"010-66716753,13579955188",7
111,2023020490,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：交通运输类",数学1,男性,河南郑州,"010-66716753,13579955188",31
112,2023020492,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,2,1:3,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程,数学1,男性,河南郑州,"010-66716753,13579955188",15
113,2023020493,D232770,联勤保障部队某部队,军事代表,军事代表（九级文员以下）,协调铁路、水路、航空军事运输投送工作,3,1:3,社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,北京,"010-66716753,13579955188",21
114,2023020494,D232770,联勤保障部队某部队,工程,助理工程师,协调铁路、水路、航空军事运输投送工作,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通信息工程及控制，交通运输规划与管理
本科：交通运输类",数学1,男性,河南洛阳,"010-66716753,13579955188",12
115,2023020500,D232770,联勤保障部队某部队,工程,助理工程师,军事代表工作,1,1:3,社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：交通运输类",数学1,男性,北京,"010-66716753,13579955188",6
116,2023023068,D232976,武警部队浙江省总队某单位,工程,助理工程师,军车检修,1,1:5,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：交通运输，交通工程",数学2+物理,男性,浙江杭州,0571-86765316,5
117,2023024791,D233377,武警部队某支队,工程,工程师,舰艇机电维修,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：轮机工程",数学2+物理,男性,浙江舟山,0571-83690225,0
118,2023024792,D233377,武警部队某支队,工程,工程师,舰艇机电维修,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：轮机工程",数学2+物理,男性,浙江舟山,"0571-83690225,0571-83690221",0
119,2023024793,D233377,武警部队某支队,工程,工程师,舰艇机电维修,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程（专业学位）
本科：轮机工程",数学2+物理,男性,浙江台州,0571-83690225,1
120,2023025567,D233388,武警部队士官学校,高教,助教,舰船教学、实验和科研,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：航海技术",数学2+物理,男性，“双一流”建设高校（学科）,浙江杭州,0571-58087092,6
121,2023025620,D233388,武警部队士官学校,高教,助教,军事物流学专业教学,1,1:3,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程，交通运输工程（专业学位）,数学2+物理,男性,浙江杭州,0571-58087092,9
122,2023025716,D233389,武警部队某单位,工程,工程师,土木工程,1,不限,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,免笔试,男性，“双一流”建设高校及建设学科硕士以上研究生,北京,010-87949506,2
